Date,Open,High,Low,Close,Adj Close
"Dec 31, 2024",0.860024,0.872263,0.841744,0.843765,0.843765
"Dec 30, 2024",0.858641,0.896195,0.830983,0.860017,0.860017
"Dec 29, 2024",0.887817,0.907943,0.85229,0.85864,0.85864
"Dec 28, 2024",0.874775,0.895069,0.867825,0.887817,0.887817
"Dec 27, 2024",0.85978,0.911337,0.857433,0.874768,0.874768
"Dec 26, 2024",0.916854,0.924634,0.853079,0.859785,0.859785
"Dec 25, 2024",0.936465,0.936551,0.904098,0.916859,0.916859
"Dec 24, 2024",0.924243,0.947713,0.892834,0.93646,0.93646
"Dec 23, 2024",0.882984,0.939546,0.865227,0.924246,0.924246
"Dec 22, 2024",0.904687,0.921685,0.863091,0.882976,0.882976
"Dec 21, 2024",0.951011,0.99591,0.889876,0.904694,0.904694
"Dec 20, 2024",0.885489,0.956713,0.765889,0.951011,0.951011
"Dec 19, 2024",0.968439,0.987184,0.853876,0.885502,0.885502
"Dec 18, 2024",1.051527,1.057945,0.968378,0.96842,0.96842
"Dec 17, 2024",1.078846,1.109043,1.045289,1.051525,1.051525
"Dec 16, 2024",1.101666,1.115706,1.052016,1.078856,1.078856
"Dec 15, 2024",1.060511,1.107088,1.042632,1.101708,1.101708
"Dec 14, 2024",1.119602,1.13113,1.045928,1.060512,1.060512
"Dec 13, 2024",1.125006,1.127485,1.081352,1.119602,1.119602
"Dec 12, 2024",1.088849,1.17675,1.077265,1.125016,1.125016
"Dec 11, 2024",1.020292,1.109284,0.976946,1.08889,1.08889
"Dec 10, 2024",1.007547,1.036173,0.914969,1.020161,1.020161
"Dec 9, 2024",1.196296,1.196415,0.952205,1.007549,1.007549
"Dec 8, 2024",1.214481,1.222152,1.176678,1.196291,1.196291
"Dec 7, 2024",1.231081,1.234575,1.193021,1.214196,1.214196
"Dec 6, 2024",1.163156,1.234642,1.143022,1.231107,1.231107
"Dec 5, 2024",1.187235,1.238354,1.126287,1.184712,1.184712
"Dec 4, 2024",1.198083,1.240175,1.149205,1.18732,1.18732
"Dec 3, 2024",1.201791,1.318681,1.169829,1.198126,1.198126
"Dec 2, 2024",1.155286,1.230685,1.061597,1.201776,1.201776
"Dec 1, 2024",1.078936,1.158493,1.040986,1.155252,1.155252
"Nov 30, 2024",1.076887,1.147085,1.053841,1.078942,1.078942
"Nov 29, 2024",1.033508,1.097796,1.030457,1.076858,1.076858
"Nov 28, 2024",1.013348,1.045769,0.977038,1.033508,1.033508
"Nov 27, 2024",0.961184,1.036714,0.935438,1.013346,1.013346
"Nov 26, 2024",0.945684,0.988377,0.879721,0.961232,0.961232
"Nov 25, 2024",1.023112,1.06992,0.93355,0.945689,0.945689
"Nov 24, 2024",1.0662,1.09454,0.948341,1.023106,1.023106
"Nov 23, 2024",1.010422,1.141682,1.010417,1.066237,1.066237
"Nov 22, 2024",0.820486,1.038425,0.815233,1.010423,1.010423
"Nov 21, 2024",0.800342,0.820547,0.770386,0.820474,0.820474
"Nov 20, 2024",0.739637,0.846629,0.739472,0.800345,0.800345
"Nov 19, 2024",0.73458,0.763529,0.723858,0.739642,0.739642
"Nov 18, 2024",0.702301,0.779658,0.702262,0.73458,0.73458
"Nov 17, 2024",0.738731,0.767812,0.697027,0.702325,0.702325
"Nov 16, 2024",0.703398,0.811656,0.703316,0.738734,0.738734
"Nov 15, 2024",0.580137,0.689216,0.578542,0.67406,0.67406
"Nov 14, 2024",0.578775,0.598058,0.545862,0.580116,0.580116
"Nov 13, 2024",0.573943,0.605301,0.521302,0.578775,0.578775
"Nov 12, 2024",0.613808,0.649633,0.558212,0.573918,0.573918
"Nov 11, 2024",0.590305,0.622249,0.567807,0.613808,0.613808
"Nov 10, 2024",0.493678,0.652301,0.489937,0.590309,0.590309
"Nov 9, 2024",0.443817,0.493895,0.428969,0.49368,0.49368
"Nov 8, 2024",0.405013,0.457889,0.404759,0.443815,0.443815
"Nov 7, 2024",0.363323,0.405013,0.362033,0.405013,0.405013
